iter	Passed	Remaining
1079	12115	18173
1080	12139	18181
1081	12150	18169
1082	12161	18157
1083	12172	18145
1084	12182	18134
1085	12192	18119
1086	12202	18107
1087	12213	18095
1088	12223	18083
1089	12234	18070
1090	12244	18057
1091	12253	18043
1092	12264	18032
1093	12273	18018
1094	12285	18006
1095	12294	17992
1096	12304	17979
1097	12313	17966
1098	12324	17953
1099	12332	17937
1100	12342	17924
1101	12352	17912
1102	12362	17899
1103	12373	17887
1104	12384	17876
1105	12396	17865
1106	12407	17854
1107	12417	17841
1108	12438	17844
1109	12449	17833
1110	12458	17818
1111	12467	17803
1112	12476	17789
1113	12486	17777
1114	12497	17765
1115	12507	17752
1116	12518	17741
1117	12529	17729
1118	12541	17719
1119	12555	17712
1120	12568	17704
1121	12581	17695
1122	12596	17688
1123	12614	17687
1124	12628	17679
1125	12637	17665
1126	12649	17654
1127	12658	17640
1128	12668	17628
1129	12677	17613
1130	12691	17607
1131	12701	17594
1132	12709	17578
1133	12718	17563
1134	12728	17551
1135	12737	17535
1136	12745	17521
1137	12755	17508
1138	12764	17493
1139	12774	17480
1140	12782	17465
1141	12791	17451
1142	12800	17436
1143	12809	17423
1144	12826	17419
1145	12837	17407
1146	12847	17394
1147	12856	17381
1148	12864	17366
1149	12874	17351
1150	12883	17338
1151	12893	17325
1152	12903	17312
1153	12913	17299
1154	12923	17287
1155	12933	17274
1156	12943	17261
1157	12952	17247
1158	12961	17234
1159	12971	17221
1160	12980	17207
1161	12989	17192
1162	12997	17177
1163	13007	17164
1164	13016	17150
1165	13026	17137
1166	13034	17122
1167	13045	17111
1168	13055	17098
1169	13063	17083
1170	13071	17067
1171	13079	17052
1172	13119	17078
1173	13161	17107
1174	13177	17102
1175	13187	17089
1176	13196	17075
1177	13204	17060
1178	13213	17045
1179	13220	17029
1180	13230	17016
1181	13243	17008
1182	13252	16994
1183	13262	16981
1184	13272	16968
1185	13281	16954
1186	13290	16940
1187	13299	16926
1188	13308	16912
1189	13317	16899
1190	13327	16886
1191	13335	16870
1192	13343	16855
1193	13351	16840
1194	13361	16827
1195	13370	16813
1196	13379	16799
1197	13387	16784
1198	13396	16770
1199	13404	16755
1200	13413	16741
1201	13422	16727
1202	13431	16714
1203	13440	16700
1204	13449	16686
1205	13459	16673
1206	13467	16658
1207	13475	16643
1208	13485	16630
1209	13493	16616
1210	13502	16601
1211	13510	16587
1212	13519	16573
1213	13529	16560
1214	13537	16546
1215	13547	16533
1216	13557	16520
1217	13570	16511
1218	13586	16506
1219	13599	16498
1220	13614	16491
1221	13628	16483
1222	13641	16474
1223	13649	16459
1224	13659	16446
1225	13667	16431
1226	13674	16416
1227	13684	16403
1228	13695	16391
1229	13705	16379
1230	13715	16367
1231	13724	16353
1232	13771	16385
1233	13782	16373
1234	13793	16362
1235	13802	16349
1236	13812	16336
1237	13821	16321
1238	13829	16307
1239	13837	16292
1240	13848	16280
1241	13856	16266
1242	13866	16253
1243	13876	16241
1244	13885	16227
1245	13892	16212
1246	13902	16199
1247	13912	16186
1248	13921	16172
1249	13928	16157
1250	13938	16144
1251	13946	16129
1252	13956	16117
1253	13966	16105
1254	13974	16090
1255	13985	16078
1256	13993	16064
1257	14002	16050
1258	14009	16034
1259	14018	16021
1260	14027	16007
1261	14036	15993
1262	14046	15981
1263	14055	15968
1264	14064	15954
1265	14073	15941
1266	14081	15926
1267	14091	15913
1268	14101	15901
1269	14112	15889
1270	14121	15876
1271	14130	15863
1272	14159	15872
1273	14190	15883
1274	14204	15875
1275	14214	15863
1276	14223	15849
1277	14236	15840
1278	14246	15827
1279	14255	15815
1280	14266	15803
1281	14275	15790
1282	14284	15776
1283	14293	15763
1284	14304	15751
1285	14313	15738
1286	14322	15724
1287	14331	15711
